Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Sanga,2020Q3,32,,,1,,,30,,,3,,,33,,
Original Data,Sanga,2020Q4,20,,,1,,,16,,,5,,,21,,
Original Data,Soba,2020Q1,17,,,0,,,15,,,2,,,17,,
Original Data,Soba,2020Q2,19,,,2,,,19,,,2,,,21,,
Original Data,Soba,2020Q3,38,,,0,,,35,,,3,,,38,,
Original Data,Soba,2020Q4,51,,,0,,,45,,,6,,,51,,
Original Data,Zangon Kataf,2020Q1,34,,,0,,,21,,,13,,,34,,
Original Data,Zangon Kataf,2020Q2,15,,,16,,,15,,,16,,,31,,
Original Data,Zangon Kataf,2020Q3,41,,,0,,,29,,,12,,,41,,
Original Data,Zangon Kataf,2020Q4,50,,,0,,,43,,,7,,,50,,
Original Data,Zaria,2020Q1,119,,,14,,,109,,,24,,,133,,
Original Data,Zaria,2020Q2,148,,,10,,,131,,,27,,,158,,
Original Data,Zaria,2020Q3,190,,,8,,,184,,,14,,,198,,
Original Data,Zaria,2020Q4,219,,,11,,,202,,,28,,,230,,
Original Data,Birin Gwari,2021Q1,29,,,0,,,20,,,9,,,29,,
Original Data,Birin Gwari,2021Q2,75,,,0,,,48,,,27,,,75,,
Original Data,Birin Gwari,2021Q3,50,,,0,,,49,,,1,,,50,,
Original Data,Birin Gwari,2021Q4,105,,,0,,,84,,,21,,,105,,
Original Data,Chikun,2021Q1,91,,,4,,,70,,,25,,,95,,
Original Data,Chikun,2021Q2,123,,,0,,,117,,,6,,,123,,
Original Data,Chikun,2021Q3,146,,,1,,,142,,,5,,,147,,
Original Data,Chikun,2021Q4,337,,,2,,,313,,,26,,,339,,
Original Data,Giwa,2021Q1,59,,,12,,,34,,,37,,,71,,
Original Data,Giwa,2021Q2,127,,,9,,,102,,,34,,,136,,
Original Data,Giwa,2021Q3,222,,,11,,,213,,,20,,,233,,
Original Data,Giwa,2021Q4,498,,,14,,,485,,,27,,,512,,
Original Data,Igabi,2021Q1,100,,,0,,,89,,,11,,,100,,
Original Data,Igabi,2021Q2,89,,,0,,,75,,,14,,,89,,
Original Data,Igabi,2021Q3,109,,,0,,,83,,,26,,,109,,
Original Data,Igabi,2021Q4,191,,,0,,,162,,,29,,,191,,
Original Data,Ikara,2021Q1,19,,,0,,,14,,,5,,,19,,
Original Data,Ikara,2021Q2,26,,,0,,,21,,,5,,,26,,
Original Data,Ikara,2021Q3,29,,,0,,,23,,,6,,,29,,
Original Data,Ikara,2021Q4,36,,,0,,,22,,,14,,,36,,
Original Data,Jaba,2021Q1,23,,,0,,,5,,,18,,,23,,
Original Data,Jaba,2021Q2,24,,,0,,,9,,,15,,,24,,
Original Data,Jaba,2021Q3,25,,,0,,,19,,,6,,,25,,
Original Data,Jaba,2021Q4,18,,,0,,,14,,,4,,,18,,
Original Data,Jemaa,2021Q1,61,,,0,,,42,,,19,,,61,,
Original Data,Jemaa,2021Q2,90,,,0,,,66,,,24,,,90,,
Original Data,Jemaa,2021Q3,118,,,1,,,89,,,30,,,119,,
Original Data,Jemaa,2021Q4,132,,,0,,,112,,,20,,,132,,
Original Data,Kachia,2021Q1,176,,,0,,,168,,,8,,,176,,
Original Data,Kachia,2021Q2,259,,,0,,,242,,,17,,,259,,
Original Data,Kachia,2021Q3,213,,,0,,,212,,,1,,,213,,
Original Data,Kachia,2021Q4,284,,,0,,,277,,,7,,,284,,
Original Data,Kaduna North,2021Q1,356,,,3,,,319,,,40,,,359,,
Original Data,Kaduna North,2021Q2,370,,,3,,,344,,,29,,,373,,
Original Data,Kaduna North,2021Q3,402,,,2,,,280,,,124,,,404,,
Original Data,Kaduna North,2021Q4,487,,,1,,,379,,,109,,,488,,
Original Data,Kaduna South,2021Q1,278,,,14,,,181,,,111,,,292,,
Original Data,Kaduna South,2021Q2,239,,,10,,,145,,,104,,,249,,
Original Data,Kaduna South,2021Q3,250,,,3,,,148,,,105,,,253,,
Original Data,Kaduna South,2021Q4,278,,,7,,,176,,,109,,,285,,
Original Data,Kagarko,2021Q1,20,,,0,,,20,,,0,,,20,,
Original Data,Kagarko,2021Q2,18,,,0,,,18,,,0,,,18,,
Original Data,Kagarko,2021Q3,32,,,0,,,32,,,0,,,32,,
Original Data,Kagarko,2021Q4,20,,,0,,,20,,,0,,,20,,
Original Data,Kajuru,2021Q1,34,,,0,,,29,,,5,,,34,,
Original Data,Kajuru,2021Q2,90,,,0,,,84,,,6,,,90,,
Original Data,Kajuru,2021Q3,105,,,0,,,102,,,3,,,105,,
Original Data,Kajuru,2021Q4,136,,,0,,,135,,,1,,,136,,
Original Data,Kaura,2021Q1,40,,,0,,,34,,,6,,,40,,
Original Data,Kaura,2021Q2,24,,,0,,,22,,,2,,,24,,
Original Data,Kaura,2021Q3,12,,,0,,,12,,,0,,,12,,
Original Data,Kaura,2021Q4,25,,,0,,,20,,,5,,,25,,
Original Data,Kauru,2021Q1,113,,,0,,,112,,,1,,,113,,
Original Data,Kauru,2021Q2,167,,,0,,,167,,,0,,,167,,
Original Data,Kauru,2021Q3,199,,,0,,,199,,,0,,,199,,
Original Data,Kauru,2021Q4,285,,,0,,,285,,,0,,,285,,
Original Data,Kubau,2021Q1,39,,,0,,,36,,,3,,,39,,
Original Data,Kubau,2021Q2,43,,,0,,,41,,,2,,,43,,
Original Data,Kubau,2021Q3,42,,,0,,,41,,,1,,,42,,
Original Data,Kubau,2021Q4,62,,,0,,,60,,,2,,,62,,
Original Data,Kudan,2021Q1,20,,,1,,,17,,,4,,,21,,
Original Data,Kudan,2021Q2,23,,,0,,,19,,,4,,,23,,
Original Data,Kudan,2021Q3,32,,,0,,,28,,,4,,,32,,
Original Data,Kudan,2021Q4,36,,,0,,,33,,,3,,,36,,
Original Data,Lere,2021Q1,49,,,0,,,37,,,12,,,49,,
Original Data,Lere,2021Q2,57,,,0,,,49,,,8,,,57,,
Original Data,Lere,2021Q3,44,,,0,,,32,,,12,,,44,,
Original Data,Lere,2021Q4,58,,,0,,,54,,,4,,,58,,
Original Data,Markarfi,2021Q1,58,,,0,,,36,,,22,,,58,,
Original Data,Markarfi,2021Q2,59,,,1,,,40,,,20,,,60,,
Original Data,Markarfi,2021Q3,70,,,0,,,44,,,26,,,70,,
Original Data,Markarfi,2021Q4,91,,,0,,,60,,,31,,,91,,
Original Data,Sabon Gari,2021Q1,66,,,0,,,55,,,11,,,66,,
Original Data,Sabon Gari,2021Q2,82,,,0,,,60,,,22,,,82,,
Original Data,Sabon Gari,2021Q3,107,,,0,,,89,,,18,,,107,,
Original Data,Sabon Gari,2021Q4,119,,,0,,,96,,,23,,,119,,
Original Data,Sanga,2021Q1,27,,,1,,,22,,,6,,,28,,
Original Data,Sanga,2021Q2,25,,,0,,,21,,,4,,,25,,
Original Data,Sanga,2021Q3,22,,,0,,,18,,,4,,,22,,
Original Data,Sanga,2021Q4,20,,,0,,,5,,,15,,,20,,
Original Data,Soba,2021Q1,43,,,0,,,42,,,1,,,43,,
Original Data,Soba,2021Q2,54,,,1,,,52,,,3,,,55,,
Original Data,Soba,2021Q3,54,,,0,,,44,,,10,,,54,,
Original Data,Soba,2021Q4,45,,,0,,,42,,,3,,,45,,
Original Data,Zangon Kataf,2021Q1,56,,,0,,,45,,,11,,,56,,
Original Data,Zangon Kataf,2021Q2,61,,,1,,,48,,,14,,,62,,
Original Data,Zangon Kataf,2021Q3,52,,,1,,,40,,,13,,,53,,
Original Data,Zangon Kataf,2021Q4,63,,,1,,,56,,,8,,,64,,
Original Data,Zaria,2021Q1,174,,,15,,,153,,,36,,,189,,
Original Data,Zaria,2021Q2,253,,,25,,,241,,,37,,,278,,
Original Data,Zaria,2021Q3,343,,,14,,,331,,,26,,,357,,
Original Data,Zaria,2021Q4,423,,,7,,,373,,,57,,,430,,
Original Data,Birin Gwari,2022Q1,120,,,0,,,115,,,5,,,120,,
Original Data,Birin Gwari,2022Q2,109,,,0,,,87,,,22,,,109,,
Original Data,Birin Gwari,2022Q3,103,,,0,,,57,,,46,,,103,,
Original Data,Birin Gwari,2022Q4,146,,,0,,,114,,,32,,,146,,
Original Data,Chikun,2022Q1,318,,,1,,,298,,,21,,,319,,
Original Data,Chikun,2022Q2,243,,,0,,,233,,,10,,,243,,
Original Data,Chikun,2022Q3,376,,,0,,,332,,,44,,,376,,
Original Data,Chikun,2022Q4,457,,,0,,,426,,,31,,,457,,
Original Data,Giwa,2022Q1,516,,,7,,,495,,,28,,,523,,
Original Data,Giwa,2022Q2,390,,,26,,,385,,,31,,,416,,
Original Data,Giwa,2022Q3,546,,,26,,,528,,,44,,,572,,
Original Data,Giwa,2022Q4,576,,,1,,,553,,,24,,,577,,
Original Data,Igabi,2022Q1,148,,,0,,,124,,,24,,,148,,
Original Data,Igabi,2022Q2,153,,,0,,,128,,,25,,,153,,
Original Data,Igabi,2022Q3,243,,,0,,,227,,,16,,,243,,
