Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter,,
2020,2,Kaura,Male,0,1,2,3,3,2,3,0,14,2020 Q2,,
2020,2,Kaura,Female,0,0,3,1,0,0,1,1,6,2020 Q2,,
2020,2,Kauru,Male,0,0,0,9,7,0,0,0,16,2020 Q2,,
2020,2,Kauru,Female,0,0,0,5,1,0,0,0,6,2020 Q2,,
2020,2,Kubau,Male,0,0,3,3,4,3,1,0,14,2020 Q2,,
2020,2,Kubau,Female,0,0,2,1,2,0,1,1,7,2020 Q2,,
2020,2,Kudan,Male,0,0,0,1,3,1,0,0,5,2020 Q2,,
2020,2,Kudan,Female,0,2,0,0,1,0,1,1,5,2020 Q2,,
2020,2,Lere,Male,0,1,5,1,5,5,2,0,19,2020 Q2,,
2020,2,Lere,Female,0,0,3,2,1,3,0,0,9,2020 Q2,,
2020,2,Markafi,Male,0,1,6,5,5,4,3,2,26,2020 Q2,,
2020,2,Markafi,Female,1,0,0,4,3,1,0,0,9,2020 Q2,,
2020,2,Sabon-Gari,Male,1,0,4,20,10,4,1,3,43,2020 Q2,,
2020,2,Sabon-Gari,Female,0,2,7,9,0,7,1,1,27,2020 Q2,,
2020,2,Sanga,Male,0,0,3,2,3,2,1,2,13,2020 Q2,,
2020,2,Sanga,Female,0,0,2,1,3,1,1,0,8,2020 Q2,,
2020,2,Soba,Male,0,1,0,2,5,1,0,2,11,2020 Q2,,
2020,2,Soba,Female,0,0,1,3,4,2,0,0,10,2020 Q2,,
2020,2,Zango-Kataf,Male,0,0,1,2,13,6,3,1,26,2020 Q2,,
2020,2,Zango-Kataf,Female,0,0,1,2,0,0,1,1,5,2020 Q2,,
2020,2,Zaria,Male,0,1,25,42,15,11,2,4,100,2020 Q2,,
2020,2,Zaria,Female,0,1,14,14,12,12,3,2,58,2020 Q2,,
2020,3,Birnin-Gwari,Male,0,0,0,2,0,4,1,1,8,2020 Q3,,
2020,3,Birnin-Gwari,Female,0,1,2,2,5,3,2,0,15,2020 Q3,,
2020,3,Chikun,Male,1,1,9,12,15,7,1,4,50,2020 Q3,,
2020,3,Chikun,Female,0,1,2,6,5,3,0,1,18,2020 Q3,,
2020,3,Giwa,Male,7,4,0,5,3,5,6,2,32,2020 Q3,,
2020,3,Giwa,Female,4,7,0,3,2,3,1,1,21,2020 Q3,,
2020,3,Igabi,Male,0,1,9,13,12,6,1,4,46,2020 Q3,,
2020,3,Igabi,Female,0,2,11,3,4,2,1,1,24,2020 Q3,,
2020,3,Ikara,Male,0,0,0,5,2,0,1,0,8,2020 Q3,,
2020,3,Ikara,Female,0,0,0,0,1,3,1,1,6,2020 Q3,,
2020,3,Jaba,Male,0,0,0,1,1,3,0,2,7,2020 Q3,,
2020,3,Jaba,Female,0,0,0,1,0,1,1,0,3,2020 Q3,,
2020,3,Jema'a,Male,0,0,5,8,10,8,5,1,37,2020 Q3,,
2020,3,Jema'a,Female,0,0,3,5,2,0,0,1,11,2020 Q3,,
2020,3,Kachia,Male,0,3,3,5,26,26,19,3,85,2020 Q3,,
2020,3,Kachia,Female,0,1,0,12,16,13,9,5,56,2020 Q3,,
2020,3,Kaduna North,Male,1,1,25,47,43,23,9,6,155,2020 Q3,,
2020,3,Kaduna North,Female,3,6,20,35,22,9,6,0,101,2020 Q3,,
2020,3,Kaduna South,Male,2,4,24,44,28,14,14,15,145,2020 Q3,,
2020,3,Kaduna South,Female,1,4,21,20,11,9,5,3,74,2020 Q3,,
2020,3,Kagarko,Male,0,0,3,2,0,2,0,2,9,2020 Q3,,
2020,3,Kagarko,Female,0,0,2,0,1,1,0,0,4,2020 Q3,,
2020,3,Kajuru,Male,0,0,0,3,4,6,2,0,15,2020 Q3,,
2020,3,Kajuru,Female,0,0,1,3,4,0,0,0,8,2020 Q3,,
2020,3,Kaura,Male,0,0,0,4,4,4,0,3,15,2020 Q3,,
2020,3,Kaura,Female,0,0,0,0,0,2,1,0,3,2020 Q3,,
2020,3,Kauru,Male,0,0,2,8,12,1,0,1,24,2020 Q3,,
2020,3,Kauru,Female,0,0,1,3,4,0,0,0,8,2020 Q3,,
2020,3,Kubau,Male,0,0,3,5,2,2,2,2,16,2020 Q3,,
2020,3,Kubau,Female,0,0,1,3,7,1,0,1,13,2020 Q3,,
2020,3,Kudan,Male,0,0,2,2,3,1,3,0,11,2020 Q3,,
2020,3,Kudan,Female,0,0,2,1,3,3,2,,11,2020 Q3,,
2020,3,Lere,Male,0,1,4,3,6,2,1,1,18,2020 Q3,,
2020,3,Lere,Female,0,0,3,7,2,0,0,0,12,2020 Q3,,
2020,3,Markafi,Male,0,2,1,7,4,0,4,2,20,2020 Q3,,
2020,3,Markafi,Female,0,1,0,9,3,2,0,0,15,2020 Q3,,
2020,3,Sabon-Gari,Male,0,0,17,17,9,4,4,0,51,2020 Q3,,
2020,3,Sabon-Gari,Female,0,3,6,11,3,0,4,1,28,2020 Q3,,
2020,3,Sanga,Male,0,1,1,2,3,7,1,2,17,2020 Q3,,
2020,3,Sanga,Female,0,0,2,3,3,1,4,3,16,2020 Q3,,
2020,3,Soba,Male,0,0,3,4,3,2,4,1,17,2020 Q3,,
2020,3,Soba,Female,0,0,4,6,6,3,2,0,21,2020 Q3,,
2020,3,Zango-Kataf,Male,0,0,4,8,9,4,2,3,30,2020 Q3,,
2020,3,Zango-Kataf,Female,0,0,1,1,3,2,2,2,11,2020 Q3,,
2020,3,Zaria,Male,0,1,22,53,27,11,2,1,117,2020 Q3,,
2020,3,Zaria,Female,0,0,22,33,19,5,1,1,81,2020 Q3,,
2020,4,Birnin-Gwari,Male,0,0,4,5,4,3,4,5,25,2020 Q4,,
2020,4,Birnin-Gwari,Female,0,2,1,4,4,1,4,5,21,2020 Q4,,
2020,4,Chikun,Male,0,0,4,18,18,7,3,3,53,2020 Q4,,
2020,4,Chikun,Female,0,0,3,3,2,1,2,2,13,2020 Q4,,
2020,4,Giwa,Male,14,5,0,5,5,2,0,3,34,2020 Q4,,
2020,4,Giwa,Female,3,4,3,4,4,4,0,2,24,2020 Q4,,
2020,4,Igabi,Male,2,2,15,19,7,7,9,1,62,2020 Q4,,
2020,4,Igabi,Female,2,3,6,11,10,1,4,0,37,2020 Q4,,
2020,4,Ikara,Male,0,0,2,9,6,1,0,4,22,2020 Q4,,
2020,4,Ikara,Female,0,0,2,2,1,3,1,0,9,2020 Q4,,
2020,4,Jaba,Male,0,0,1,0,6,1,1,0,9,2020 Q4,,
2020,4,Jaba,Female,0,0,0,1,1,1,1,0,4,2020 Q4,,
2020,4,Jema'a,Male,0,0,2,12,13,5,2,3,37,2020 Q4,,
